dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
GunPointOldVersusYoung,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99682540,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99682540,1.00000000,0.99989418,1.00000000,0.00056986,1.00000000,0.99989930,0.31691779,16.37427094
Ham,0.74285714,0.89523810,0.85714286,0.86666667,0.86666667,0.85714286,0.86666667,0.90476190,0.82857143,0.87619048,0.80000000,0.87619048,0.85714286,0.86666667,0.84761905,0.86666667,0.80952381,0.86666667,0.85714286,0.92380952,0.88571429,0.89523810,0.89523810,0.89523810,0.78095238,0.86666667,0.82857143,0.93333333,0.85714286,0.89523810,0.74285714,0.93333333,0.86222222,0.86666667,0.03970666,0.93215928,0.86799755,0.49118430,15.45606914
Haptics,0.55519481,0.55194805,0.58116883,0.52922078,0.56168831,0.60064935,0.54870130,0.57467532,0.56168831,0.57142857,0.57792208,0.58441558,0.57142857,0.55844156,0.57792208,0.54870130,0.58441558,0.59415584,0.56493506,0.59090909,0.60064935,0.56168831,0.58766234,0.57142857,0.59415584,0.61363636,0.59740260,0.56493506,0.60389610,0.55519481,0.52922078,0.61363636,0.57467532,0.57305195,0.01946247,0.82646340,0.56279668,1.24538837,23.46683869
Herring,0.76562500,0.64062500,0.64062500,0.67187500,0.65625000,0.70312500,0.51562500,0.59375000,0.62500000,0.68750000,0.62500000,0.59375000,0.60937500,0.59375000,0.67187500,0.64062500,0.65625000,0.64062500,0.62500000,0.75000000,0.54687500,0.59375000,0.64062500,0.62500000,0.60937500,0.65625000,0.64062500,0.67187500,0.46875000,0.64062500,0.46875000,0.76562500,0.63333333,0.64062500,0.05814702,0.67696986,0.52181092,0.63625309,17.23331909
HouseTwenty,0.98319328,0.98319328,0.96638655,0.98319328,0.98319328,0.98319328,0.99159664,0.98319328,0.98319328,0.96638655,0.99159664,1.00000000,0.97478992,0.96638655,0.97478992,0.98319328,0.99159664,0.97478992,0.92436975,0.99159664,0.97478992,0.98319328,0.99159664,0.97478992,0.99159664,0.97478992,0.96638655,0.99159664,0.94957983,0.98319328,0.92436975,1.00000000,0.97871148,0.98319328,0.01451186,0.99418976,0.97525660,0.38151369,40.72307373
InlineSkate,0.51454545,0.55818182,0.53454545,0.53090909,0.50545455,0.56363636,0.51818182,0.50545455,0.51090909,0.52181818,0.53818182,0.56000000,0.54909091,0.52727273,0.51272727,0.51090909,0.51272727,0.54363636,0.58545455,0.51090909,0.53818182,0.55818182,0.53636364,0.57090909,0.53272727,0.55818182,0.49636364,0.53636364,0.53090909,0.53636364,0.49636364,0.58545455,0.53363636,0.53363636,0.02166487,0.85470312,0.54730740,1.55790631,77.04254964
InsectEPGRegularTrain,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.26656788,48.17666735
InsectEPGSmallTrain,1.00000000,1.00000000,1.00000000,1.00000000,0.99196787,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.93574297,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.96385542,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99598394,1.00000000,1.00000000,1.00000000,1.00000000,0.93574297,1.00000000,0.99625167,1.00000000,0.01303143,0.99931436,0.99532019,0.32653186,16.41216249
InsectWingbeatSound,0.66414141,0.67878788,0.66414141,0.68383838,0.68737374,0.68232323,0.66363636,0.65202020,0.66868687,0.65252525,0.67777778,0.68181818,0.66868687,0.65606061,0.65656566,0.66515152,0.65505051,0.67525253,0.67777778,0.67777778,0.65656566,0.67373737,0.67828283,0.67626263,0.66313131,0.65555556,0.67525253,0.67020202,0.67777778,0.67474747,0.65202020,0.68737374,0.66969697,0.67196970,0.01016562,0.94334353,0.66274443,1.66732304,27.08926480
ItalyPowerDemand,0.96112731,0.95529640,0.95724004,0.96404276,0.96209913,0.96890185,0.96598639,0.96890185,0.97278912,0.96307094,0.96695821,0.96793003,0.96695821,0.96209913,0.94752187,0.96307094,0.97181730,0.96987366,0.97084548,0.92517007,0.96793003,0.96404276,0.96307094,0.96695821,0.96015549,0.95918367,0.95918367,0.95335277,0.95724004,0.96209913,0.92517007,0.97278912,0.96216391,0.96307094,0.00888893,0.99054034,0.96213502,0.37755706,5.16212503
